ABBA = Various Artists, A Tribute to ABBA
The Abyssinians = Various Artists, The Abyssinians and Friends: Tree of Satta
Aphex Twin = Alarm Will Sound, Acoustica: Alarm Will Sound Performs Aphex Twin
Aphex Twin = V/Vm, HelpAphexTwin 2.0: Because You Don't Give a Fuck
The Bee Gees = [unknown], The Best of the Bee Gees: Cover Versions
Black Sabbath = Various Artists, Nativity in Black: A Tribute to Black Sabbath
Coldplay = The Section Quartet, The String Quartet Tribute to Coldplay
Current 93 = Sveinbjörn Beinteinsson, Current 93 Present Sveinbjörn Beinteinsson 'EDDA'
Current 93 = Various Artists, England's Hidden Reverse
Curtis Mayfield = Various Artists, A Tribute to Curtis Mayfield
Curtis Mayfield = Various Artists, Curtis Mayfield's Chicago Soul
David Axelrod = Various Artists, The Edge: David Axelrod at Capitol Records 1966-1970
DJ Shadow = Various Artists, Send Them / Entropy
The Doors = Various Artists, Stoned Immaculate: The Music of The Doors
Ian Brown  = Various Artists, Ian Brown Under The Influence
Incubus = The Section Quartet, The String Quartet Tribute to Incubus
Kraftwerk = Various Artists, The Radioactive Tribute to Kraftwerk
Kraftwerk = Various Artists, Trancewerk Express, Volume I: A Tribute to Kraftwerk
Marilyn Manson = Various Artists, String Quartet Tribute to Marilyn Manson
Nine Inch Nails = The Section Quartet, The String Quartet Tribute to Nine Inch Nails
Pink Floyd = London Philharmonic Orchestra, Us and Them: Symphonic Pink Floyd
The Prodigy = Various Artists, A Tribute to The Prodigy
Radiohead = Christopher O'Riley, True Love Waits: Christopher O'Riley Plays Radiohead
Radiohead = AmpLive, Rainydayz Remixes
The Smashing Pumpkins = Various Artists, The Killer in You: A Tribute to the Smashing Pumpkins
Sufjan Stevens = Osso, Run Rabbit Run
Tool = The Section Quartet, Third Eye Open: The String Quartet Tribute to Tool
